,data,db,exp,prank,rank,reg,report,sj,zb
63,9850.52,年度数据,建筑业总产值是以货币形式表现的建筑业企业在一定时期内生产的建筑业产品和提供服务的总和。,2.241129,84.0,全国,cn=C01&zb=A0F08&sj=2015,2015年,建筑安装业建筑业总产值(亿元)
64,9776.53,年度数据,建筑业总产值是以货币形式表现的建筑业企业在一定时期内生产的建筑业产品和提供服务的总和。,2.241129,84.0,全国,cn=C01&zb=A0F08&sj=2014,2014年,建筑安装业建筑业总产值(亿元)
65,,年度数据,建筑业总产值是以货币形式表现的建筑业企业在一定时期内生产的建筑业产品和提供服务的总和。,2.241129,84.0,全国,cn=C01&zb=A0F08&sj=2015,2015年,其他建筑业建筑业总产值(亿元)
66,,年度数据,建筑业总产值是以货币形式表现的建筑业企业在一定时期内生产的建筑业产品和提供服务的总和。,2.241129,84.0,全国,cn=C01&zb=A0F08&sj=2014,2014年,其他建筑业建筑业总产值(亿元)
67,,季度数据,,2.2416300000000002,84.0,全国,cn=B01&zb=A0404&sj=2017A,2017年第一季度,按总产值计算的劳动生产率_累计值(元/人)
68,324026,年度数据,,2.242029,84.0,全国,cn=C01&zb=A0F0O&sj=2015,2015年,按建筑业总产值计算的建筑业企业劳动生产率(元/人)
69,317633,年度数据,,2.242029,84.0,全国,cn=C01&zb=A0F0O&sj=2014,2014年,按建筑业总产值计算的建筑业企业劳动生产率(元/人)
70,445787,年度数据,,2.242229,84.0,全国,cn=C01&zb=A0F0O&sj=2015,2015年,按建筑业总产值计算的国有建筑业企业劳动生产率(元/人)
71,413401,年度数据,,2.242229,84.0,全国,cn=C01&zb=A0F0O&sj=2014,2014年,按建筑业总产值计算的国有建筑业企业劳动生产率(元/人)
72,245268,年度数据,,2.242229,84.0,全国,cn=C01&zb=A0F0O&sj=2015,2015年,按建筑业总产值计算的集体建筑业企业劳动生产率(元/人)
73,234669,年度数据,,2.242229,84.0,全国,cn=C01&zb=A0F0O&sj=2014,2014年,按建筑业总产值计算的集体建筑业企业劳动生产率(元/人)
74,50281.30,年度数据,利润总额指企业在一定会计期间的经营成果，是生产经营过程中各种收入扣除各种耗费后的盈余，反映企业在报告期内实现的盈亏总额。根据会计“利润表”中“利润总额”项目的本期金额数填报。,2.831029,84.0,全国,cn=C01&zb=A0E010U&sj=2015,2015年,内资工业企业利润总额(亿元)
75,51577.58,年度数据,利润总额指企业在一定会计期间的经营成果，是生产经营过程中各种收入扣除各种耗费后的盈余，反映企业在报告期内实现的盈亏总额。根据会计“利润表”中“利润总额”项目的本期金额数填报。,2.831029,84.0,全国,cn=C01&zb=A0E010U&sj=2014,2014年,内资工业企业利润总额(亿元)
76,7326.74,年度数据,,2.831229,84.0,全国,cn=C01&zb=A0E010V&sj=2015,2015年,内资工业亏损企业亏损总额(亿元)
77,5478.57,年度数据,,2.831229,84.0,全国,cn=C01&zb=A0E010V&sj=2014,2014年,内资工业亏损企业亏损总额(亿元)
78,115737,年度数据,货物进出口总额指实际进出我国国境的货物总金额。包括对外贸易实际进出口货物，来料加工装配进出口货物，国家间、联合国及国际组织无偿援助物资和赠送品，华侨、港澳台同胞和外籍华人捐赠品，租赁期满归承租人所有的租赁货物，进料加工进出口货物，边境地方贸易及边境地区小额贸易进出口货物(边民互市贸易除外)，中外合资企业、中外合作经营企业、外商独资经营企业进出口货物和公用物品，到、离岸价格在规定限额以上的进出口货样和广告品(无商业价值、无使用价值和免费提供出口的除外)，从保税仓库提取在中国境内销售的进口货物，以及其他进出口货物。该指标用以观察一个国家在对外贸易方面的总规模。我国规定出口货物按离岸价格统计，进口货物按到岸价格统计。,2.831629,84.0,全国,cn=C01&zb=A06050107&sj=2015,2015年,中国同国别(地区)不详进出口总额(万美元)
